,ruptureStatus,Systole_STAWSS,Systole_WSSMin,Systole_WSSMax,Mean_OSI,Std_OSI,TA_LSA_2,TA_LSA_Std_2,Bulbous,sacVolume,Height,Sac_Max_Width,Size_ratio_height,Size_ratio_width,aspectRatio_star,vesselDiameter,Systole_TADVO,Systole_DVOStd,Ostium Minimum,Ostium Maximum,Aneurysm Area,Ostium Area,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
Height,0.1639852380256495,-0.22645501875422444,-0.12073455776699613,-0.03517188338911949,-0.0048765583206234345,-0.026448083110126534,0.17964287125684328,0.04549625062983665,-0.0026159909458127136,0.8609301680491945,1.0,0.7550699116145653,0.6604137008989452,0.36892200023326005,0.5506485012238278,0.3364341448634125,-0.2584497558071287,0.11362810729353119,0.4074848918459181,0.43890101038385915,0.905462226609002,0.34685100889095716,0.37587954621163827,0.3599344115097319,0.3024328942287648,0.22308806423458907,0.17818839473784465,0.21354106405154594,0.2570785755625946,0.29440553999895264,0.23208920077642106,0.4144710367751751
Sac_Max_Width,0.19841634901601657,-0.1888875770238404,-0.10664364866451422,0.019530847190359333,0.16178192059525495,0.017294162119526404,0.13188972493993287,-0.028853585163306907,0.12095566512585368,0.830608780815571,0.7550699116145653,1.0,0.47532519292604875,0.6198424576022538,0.26337789645480525,0.31392329601913227,-0.226776241784924,0.08265426600257068,0.49137873312186403,0.6183364983100249,0.856517299482015,0.4546356765982731,0.304861618752462,0.23449565993924723,0.1310219001505068,0.08401350460534093,0.05603863466323779,0.0606047400984126,0.22053996479148794,0.23831094218373874,0.22437078866386928,0.30754523258672545
Size_ratio_height,-0.16777494887482358,-0.15861616837039244,-0.01994772131907937,-0.007386335081286329,0.03896658769657948,0.09125945778124381,0.16595046121512758,-0.09791228686408349,0.1307960767880858,0.4251543016086948,0.6604137008989452,0.47532519292604875,1.0,0.7594618833549074,0.5932598408822471,-0.36380452764784044,-0.21346226302421417,0.046067566761736976,0.024571023769160635,0.09301541776276154,0.4968639638733767,0.024687751056116876,0.24310222123035424,0.15958622578004739,0.09345758860404203,0.021342689885202333,-0.07167653433374581,0.021880045708814872,0.0232876973225665,0.077931025741058,0.09858796161764236,0.1875463543187787
Size_ratio_width,-0.19715798312524652,-0.12286855030356948,-0.005216652312912558,0.010645331529950971,0.1714497424966654,0.1367048864424589,0.11978737642163417,-0.14469371382691132,0.2787997965334377,0.3351684390212198,0.36892200023326005,0.6198424576022538,0.7594618833549074,1.0,0.24164280368989097,-0.44931391572640267,-0.15521557776205044,0.028085755932339567,0.04942714341838931,0.21001306588885352,0.3711316838393545,0.08173678275624768,0.09635605982033119,-0.03205746740610127,-0.14145518791033182,-0.19184157075784547,-0.2458351206909071,-0.16051151786653564,-0.028676716108011414,0.02261098012300991,0.07925307511905944,0.09404114653229916
aspectRatio_star,-0.021988999381424804,-0.11403092260986736,-0.15693099686019754,0.15735910919824198,-0.01528017958460231,0.055352856921919234,0.21820827608967114,-0.09467399563231149,0.1046285974894724,0.30778426668099257,0.5506485012238278,0.26337789645480525,0.5932598408822471,0.24164280368989097,1.0,-0.032424148088140786,-0.15559887722457427,0.08034294624261058,-0.32607960675999154,-0.3006106837674251,0.42647650693800276,-0.20072465221667815,0.1539681337090541,0.11860642141284411,0.08390459353295675,0.03189778167008662,-0.0026866673155002243,-0.012347001010919853,-0.09948107958284062,-0.061098180955828064,-0.0331862931995598,0.10142555412584509
vesselDiameter,0.37474070307534646,-0.09626552738271847,-0.13637253294267093,-0.031117941246577543,-0.021717607921428773,-0.11499235172094448,0.026698863525355047,0.15407507548694918,-0.20788386450842095,0.4244985902620582,0.3364341448634125,0.31392329601913227,-0.36380452764784044,-0.44931391572640267,-0.032424148088140786,1.0,-0.04539716552699908,0.09067357755116424,0.5082987901472584,0.4446421774330731,0.42415689381928573,0.3926110653000641,0.16750162500634197,0.20371755620579546,0.22873870181075082,0.21162634514030945,0.2309422085119304,0.15286986011572634,0.1900350470477349,0.18708681888848963,0.11606131352283003,0.20190100618830878
Systole_TADVO,0.034514669640152915,0.41866828488180646,0.15595000646370744,0.22862445621690497,-0.14311072228564128,-0.29014963442874625,-0.5848576314877638,0.2155938188142078,-0.055878308618057704,-0.32349060982406397,-0.2584497558071287,-0.226776241784924,-0.21346226302421417,-0.15521557776205044,-0.15559887722457427,-0.04539716552699908,1.0,-0.23820140988177388,0.005256627924189615,-0.03299604882610187,-0.2930575672569187,0.013790663735991136,-0.008078154333945162,-0.01089178771926453,0.037043202003792984,0.06745937638664407,0.07151644207655491,0.08702564529294433,-0.02745148287730311,-0.09571312532614742,-0.07127474088331114,-0.20103294690702012
Systole_DVOStd,0.02851116468359275,-0.38528684026673604,-0.23521251073879373,-0.21038449615374966,0.010157899176030308,0.20018427345918668,0.3979888510492949,0.027991261910055253,-0.033929353067077665,0.058093026933639,0.11362810729353119,0.08265426600257068,0.046067566761736976,0.028085755932339567,0.08034294624261058,0.09067357755116424,-0.23820140988177388,1.0,-0.007582116548050431,-0.05213770957257009,0.06257593005052728,-0.0629989286538313,-0.01649959487095641,-0.07672940354829563,-0.1326695298115735,-0.1760247158124008,-0.2021571332506086,-0.1419587972274295,-0.1794598335296416,-0.11790633818490136,-0.04414413741189885,0.062439045275493384
Ostium Minimum,0.36949283896580243,-0.027235409891260817,0.11188813902013177,-0.19803550325522637,-0.011696500969752263,-0.1515920106613904,-0.17286345082196022,0.16031740635189615,-0.15836070731363355,0.4867979506030294,0.4074848918459181,0.49137873312186403,0.024571023769160635,0.04942714341838931,-0.32607960675999154,0.5082987901472584,0.005256627924189615,-0.007582116548050431,1.0,0.8525379278071666,0.4610719307300036,0.714340670682206,0.23353243823244582,0.28032641319143,0.307779425617181,0.28221142515708325,0.2664325416173901,0.24830042621173043,0.36366183501364047,0.3840907129399767,0.2997622624476538,0.2730989607082375
Ostium Maximum,0.2730178241029503,-0.06992350133092957,0.026899539346511667,-0.19793781623451492,-0.0048878363886139505,-0.0858581239826136,-0.10512154096816821,0.08799171669138707,-0.07561797908431672,0.5661143991421975,0.43890101038385915,0.6183364983100249,0.09301541776276154,0.21001306588885352,-0.3006106837674251,0.4446421774330731,-0.03299604882610187,-0.05213770957257009,0.8525379278071666,1.0,0.5302905696929908,0.7350779162741072,0.2421243200286335,0.19846125767333445,0.15631376482017406,0.1318796264986584,0.12707237500502064,0.18872571672234167,0.32525301909353493,0.28841088110159513,0.20661720504602843,0.25709093913214026
